scenario,demand
273,458.679688
274,471.060516
275,413.665631
276,337.493704
277,303.494626
278,409.629853
279,339.411477
280,426.002891
281,467.934578
282,229.062483
283,440.174944
284,405.853848
285,286.535908
286,470.475749
287,324.196418
288,479.285148
289,544.896109
290,339.148026
291,350.512604
292,391.179571
293,488.936695
294,444.369373
295,234.347156
296,501.129939
297,428.291082
298,305.656534
299,350.881361
300,346.124346
301,383.48465
302,367.688518
303,356.54745
304,468.037516
305,508.103597
306,277.638889
307,404.319463
308,452.399902
309,323.174227
310,463.614823
311,351.610284
312,513.123017
313,538.355395
314,455.36163
315,439.331593
316,406.39922
317,318.844664
318,406.72392
319,584.772019
320,288.649478
321,336.395976
322,454.054556
323,393.459694
324,302.443569
325,530.83318
326,359.307998
327,361.621764
328,157.04486
329,335.597262
330,528.78408
331,595.957228
332,453.23926
333,390.11186
334,391.475646
335,459.737434
336,369.773485
337,270.828789
338,359.007727
339,408.321503
340,648.62333
341,426.427513
342,457.654456
343,468.030308
344,434.628239
345,316.492028
346,445.935743
347,541.448715
348,549.161323
349,287.515505
350,416.305246
351,433.650893
352,385.953326
353,588.309291
354,393.665792
355,401.922789
356,476.686697
357,416.154579
358,495.532276
359,465.973902
360,506.011771
361,469.239603
362,298.331394
363,426.54778
364,416.658596
365,314.544439
366,161.010217
367,322.427571
368,281.307441
369,290.731239
370,297.944012
371,339.002786
372,484.685678
373,382.676617
374,495.983533
375,508.245905
376,398.003595
377,469.429076
378,468.294498
379,301.604266
380,254.155543
381,233.876596
382,414.000529
383,491.432808
384,276.028443
385,516.087431
386,420.876873
387,448.503282
388,291.006414
389,404.003429
390,246.67645
391,432.535211
392,457.119086
393,402.320608
394,393.484833
395,731.244753
396,406.776326
397,330.472453
398,489.638888
399,474.504099
400,463.418833
401,481.435176
402,560.674956
403,415.770143
404,448.821092
405,523.614537
406,424.400902
407,242.636303
408,521.16816
409,396.451225
410,325.191629
411,436.569217
412,396.230438
413,237.621061
414,475.165421
415,218.375368
416,356.139598
417,446.600405
418,560.299801
419,324.64621
420,415.098275
421,385.911192
422,375.239756
423,392.923991
424,465.570436
425,207.82877
426,490.413336
427,587.680602
428,288.076229
429,349.30104
430,396.184278
431,458.131739
432,400.073661
433,286.790642
434,263.69736
435,484.695008
436,475.01515
437,752.330804
438,578.834536
439,471.067554
440,326.275299
441,405.873694
442,447.447539
443,491.228733
444,360.206297
445,299.019431
446,391.97804
447,448.592435
448,372.033967
449,312.173041
450,375.169888
451,339.34994
452,206.346448
453,522.903066
454,304.717873
455,402.373189
456,331.711505
457,604.861304
458,403.452285
459,546.23122
460,291.466141
461,401.029868
462,410.49322
463,435.478094
464,317.230872
465,657.746233
466,413.054921
467,451.096412
468,455.990158
469,341.77372
470,497.628579
471,485.556219
472,560.212984
473,414.337495
474,494.640675
475,455.208892
476,314.799144
477,385.715541
478,213.915693
479,417.592653
480,456.929998
481,310.002857
482,274.730063
483,536.594903
484,438.76268
485,493.031625
486,388.866021
487,403.088138
488,262.387917
489,456.153984
490,439.189752
491,499.275939
492,364.902137
493,619.478775
494,456.690603
495,378.313691
496,471.853298
497,420.085717
498,169.114335
499,424.376397
500,380.447444
501,386.407883
502,349.602982
503,414.086024
504,359.11901
505,177.488821
506,259.831133
507,569.769642
508,388.962036
509,358.790909
510,333.190766
511,258.681539
512,348.663907
513,378.630844
514,414.193302
515,539.668649
516,409.51258
517,439.957559
518,284.916492
519,320.311417
520,584.82862
521,373.038692
522,351.395838
523,386.086551
524,372.332864
525,520.785312
526,481.053473
527,531.810166
528,612.948322
529,494.12658
530,303.690633
531,269.945941
532,490.381674
533,304.604556
534,377.509108
535,446.013113
536,497.613981
537,373.777853
538,392.262611
539,348.38293
540,457.092625
541,447.915025
542,574.642354
543,518.548621
544,421.1406
545,316.607038
546,495.002532
547,391.389242
548,522.291443
549,367.698395
550,256.745025
551,242.50599
552,377.451193
553,443.379829
554,479.355636
555,253.373692
556,375.232223
557,483.765008
558,589.227781
559,490.191352
560,492.589182
561,470.545108
562,304.241911
563,447.819703
564,257.301213
565,354.06476
566,173.095732
567,445.285584
568,288.868512
569,543.721977
570,349.405284
571,444.415439
572,402.408193
573,375.098816
574,443.325214
575,304.230305
576,503.366219
577,504.274048
578,236.152522
579,345.020891
580,296.092973
581,505.135883
582,455.85153
583,294.29278
584,165.969313
585,365.853525
586,384.900138
587,347.539154
588,330.592404
589,232.308005
590,541.88234
591,319.950861
592,333.693468
593,469.090265
594,422.692601
595,420.448261
596,311.081764
597,451.335239
598,435.17055
599,386.146018
600,281.205212
601,300.215232
602,408.667207
603,370.236805
604,457.08013
605,502.618326
606,264.344163
607,368.11765
608,536.980624
609,591.18206
610,484.326568
611,215.809221
612,525.966456
613,380.962174
614,369.211596
615,415.145277
616,501.648343
617,580.278909
618,411.024309
619,458.913743
620,309.65141
621,378.442746
622,400.074415
623,420.543834
624,408.537648
625,415.201861
626,454.561929
627,502.899219
628,507.812185
629,187.362827
630,453.808005
631,418.298432
632,387.944933
633,435.859153
634,289.70325
635,371.482239
636,415.251598
637,327.208493
638,353.303275
639,440.70325
640,378.489217
641,295.545701
642,465.565335
643,321.753549
644,361.980322
645,365.72424
646,252.135873
647,444.430526
648,315.560275
649,384.938819
650,355.228918
651,229.834111
652,499.162988
653,479.294319
654,439.455717
655,330.920555
656,548.500202
657,413.86854
658,472.658189
659,328.996613
660,308.429063
661,507.469334
662,511.076873
663,323.368246
664,432.723312
665,414.982408
666,265.950733
667,348.662742
668,558.104147
669,323.450624
670,466.510065
671,343.20685
672,320.784041
673,618.276673
674,382.281519
675,647.030794
676,412.995715
677,355.60377
678,591.443841
679,426.003274
680,495.193232
681,302.611689
682,365.198391
683,498.001003
684,298.608564
685,404.705703
686,431.217795
687,491.388945
688,411.093517
689,372.002244
690,385.662562
691,399.635028
692,409.23787
693,335.000582
694,172.312425
695,513.034362
696,420.812922
697,346.734185
698,558.141755
699,428.453646
700,231.08304
701,393.451137
702,332.352656
703,314.280165
704,376.98729
705,296.387246
706,321.510514
707,376.798936
708,215.865354
709,382.899198
710,582.949272
711,449.725349
712,311.550864
713,377.788406
714,514.693937
715,462.171491
716,392.435523
717,346.48069
718,555.432597
719,363.502949
720,364.121214
721,724.625556
722,375.024086
723,457.342596
724,370.688857
725,360.033543
726,358.637635
727,490.331074
728,495.752003
729,336.619538
730,401.337226
731,347.608688
732,394.074465
733,536.531312
734,493.68145
735,409.601158
736,353.646288
737,394.545785
738,300.113788
739,498.604864
740,239.580474
741,449.473885
742,532.452216
743,301.306665
744,164.148251
745,400.442008
746,473.754791
747,532.588558
748,391.721385
749,461.500465
750,419.65813
751,322.438018
752,306.00464
753,462.133358
754,390.003002
755,428.001234
756,469.885608
757,667.635361
758,426.044168
759,155.536441
760,315.719492
761,420.583213
762,419.418431
763,397.785962
764,422.320328
765,314.119065
766,428.539396
767,452.617423
768,403.617114
769,468.572152
770,331.048736
771,265.315168
772,607.839614
773,392.206412
774,346.420892
775,453.407713
776,647.614039
777,284.807459
778,358.212222
779,416.41707
780,336.88216
781,459.00163
782,216.291566
783,293.785441
784,412.945298
785,450.679302
786,387.893192
787,306.454295
788,488.529586
789,461.139636
790,164.503752
791,375.231342
792,461.816525
793,372.507078
794,310.615409
795,309.425232
796,422.94369
797,528.50958
798,359.899177
799,661.669363
800,391.045029
801,519.983489
802,449.749695
803,366.814889
804,415.038258
805,280.551507
806,421.943427
807,518.786781
808,453.954264
809,313.61877
810,379.441113
811,118.403146
812,368.00404
813,360.831332
814,444.810329
815,447.565925
816,417.565382
817,388.48393
818,465.266927
819,403.96516
820,356.246666
821,292.084709
822,435.472343
823,504.492798
824,390.924535
825,398.448848
826,424.708435
827,502.075145
828,495.225738
829,265.469542
830,206.880024
831,379.346672
832,438.150693
833,539.70756
834,573.030424
835,361.034747
836,331.520476
837,279.18525
838,387.315348
839,388.800648
840,283.996552
841,311.342358
842,424.771253
843,391.178921
844,401.531241
845,353.490421
846,382.303672
847,358.024095
848,517.407188
849,372.043737
850,541.071684
851,506.803951
852,456.702146
853,312.673907
854,434.716497
855,412.70287
856,513.097052
857,585.032841
858,438.433614
859,422.862729
860,381.066087
861,355.828332
862,315.531799
863,441.410416
864,358.929889
865,612.543329
866,348.736547
867,603.006637
868,393.732268
869,299.230219
870,332.467779
871,581.529389
872,530.868069
873,469.040746
874,494.556928
875,345.801207
876,509.730382
877,392.090792
878,371.013711
879,277.566545
880,493.385246
881,396.223383
882,437.095024
883,471.88565
884,540.090133
885,467.202254
886,446.011
887,364.14091
888,313.7401
889,383.225834
890,340.205889
891,287.213245
892,401.57065
893,224.185942
894,452.894128
895,296.631971
896,378.166262
897,453.356348
898,612.930829
899,342.8826
900,228.212146
901,305.263571
902,420.863971
903,488.642536
904,209.866345
905,380.468241
906,338.584814
907,609.367313
908,556.085433
909,420.011636
910,295.343984
911,324.925855
912,482.134435
913,377.401831
914,376.834306
915,318.03674
916,326.899143
917,505.750195
918,287.978019
919,396.282222
920,386.971556
921,524.083671
922,470.747186
923,615.031679
924,413.782778
925,334.172014
926,475.572683
927,424.689888
928,381.775469
929,390.385806
930,340.102275
931,412.014263
932,320.14924
933,348.310793
934,406.436692
935,270.251444
936,433.532304
937,385.319448
938,233.272521
939,366.886496
940,273.669507
941,299.29104
942,535.516266
943,366.412888
944,380.122274
945,421.412065
946,253.731263
947,450.094677
948,349.710812
949,429.386872
950,245.299041
951,411.904871
952,563.392
953,579.68226
954,508.575357
955,507.468828
956,439.584783
957,615.192259
958,393.467592
959,553.562395
960,252.557917
961,505.821384
962,330.341067
963,374.380074
964,125.478491
965,389.199735
966,431.513695
967,319.653437
968,349.608788
969,488.480377
970,431.771406
971,426.623118
972,393.078375
973,621.737532
974,308.58031
975,441.465085
976,560.616107
977,437.283791
978,403.051926
979,307.062692
980,557.29258
981,471.295906
982,322.278433
983,409.930055
984,291.746822
985,408.387591
986,474.456141
987,508.435285
988,474.792559
989,281.56993
990,485.230108
991,398.202892
992,519.490246
993,263.49275
994,473.956424
995,423.032002
996,460.188629
997,321.494874
998,475.150021
999,399.545794
